id_reclamo,fecha_reclamo,cliente_id,canal,producto,motivo,estado,tiempo_resolucion_horas,monto_reembolso,nps
1,2026-02-17,2949,Call Center,Telefonía,Producto incorrecto,En proceso,106,92.03,0
2,2026-01-14,1411,Web,Móvil,Cancelación de servicio,Pendiente,51,108.2,0
3,2026-01-14,4554,Oficina,Internet,Problema técnico,Pendiente,98,41.08,5
4,2026-02-21,1387,Web,Telefonía,Entrega tardía,Pendiente,27,129.94,10
5,2026-01-02,1950,WhatsApp,Paquete Triple,Cancelación de servicio,Pendiente,79,13.84,5
6,2026-02-04,1246,Oficina,Móvil,Problema técnico,Pendiente,77,125.85,7
7,2026-01-13,4922,App,Móvil,Entrega tardía,En proceso,17,24.67,10
8,2026-01-25,1707,App,Telefonía,Entrega tardía,Resuelto,7,106.7,4
9,2026-03-24,4414,Web,Paquete Triple,Entrega tardía,Resuelto,81,16.11,1
10,2026-02-03,2827,WhatsApp,TV,Entrega tardía,Resuelto,108,38.96,8
11,2026-04-13,1507,Web,Paquete Triple,Producto defectuoso,Pendiente,81,189.33,1
12,2026-03-16,2132,WhatsApp,Paquete Triple,Problema técnico,Pendiente,7,135.9,9
13,2026-03-18,4593,WhatsApp,Telefonía,Entrega tardía,En proceso,89,124.7,9
14,2026-04-17,1067,Oficina,Internet,Producto defectuoso,En proceso,69,9.23,2
15,2026-04-29,2720,Web,Internet,Cancelación de servicio,Resuelto,116,167.51,7
16,2026-01-23,4812,Web,Telefonía,Problema técnico,Pendiente,18,169.04,2
17,2026-04-16,4572,App,Móvil,Error de facturación,En proceso,83,102.8,5
18,2026-01-05,1639,Web,Móvil,Producto defectuoso,En proceso,95,9.59,9
19,2026-01-16,1568,Web,Internet,Problema técnico,En proceso,114,4.95,0
20,2026-02-05,4035,Web,Telefonía,Entrega tardía,En proceso,13,48.15,2
21,2026-04-12,2721,WhatsApp,Telefonía,Error de facturación,Resuelto,12,118.72,9
22,2026-02-02,3005,Oficina,Internet,Problema técnico,Pendiente,12,20.96,4
23,2026-04-03,2208,Call Center,TV,Cancelación de servicio,Pendiente,41,128.97,5
24,2026-02-28,3182,Call Center,Internet,Producto defectuoso,Resuelto,92,39.06,9
25,2026-03-27,1937,App,Telefonía,Problema técnico,Resuelto,6,4.46,10
26,2026-01-28,1262,Call Center,Paquete Triple,Producto defectuoso,Pendiente,72,144.59,8
27,2026-01-27,3699,Call Center,Internet,Problema técnico,En proceso,50,130.13,0
28,2026-01-11,4282,Oficina,Internet,Producto defectuoso,Pendiente,108,152.92,3
29,2026-01-13,3313,WhatsApp,TV,Problema técnico,Resuelto,51,160.46,0
30,2026-04-03,4862,Call Center,Internet,Producto incorrecto,En proceso,29,56.72,2
